question_id,topic,asset_id,asset_file,semantic_match,audit_status,priority,reference_url,open_issues,question_text,what_missing,required_change
TX-SIG-0001,SIGNS,MUTCD_R1-1_STOP,app/src/main/assets/svg/MUTCD_R1-1_STOP.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#106,What shape is a STOP sign?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0002,SIGNS,MUTCD_R1-2_YIELD,app/src/main/assets/svg/MUTCD_R1-2_YIELD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#107,What does a YIELD sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0003,SIGNS,MUTCD_R1-2_YIELD,app/src/main/assets/svg/MUTCD_R1-2_YIELD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#107,What is the shape of a YIELD sign?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0004,SIGNS,MUTCD_R2-1_SPEED_LIMIT_65,app/src/main/assets/svg/MUTCD_R2-1_SPEED_LIMIT_65.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#112,What does this speed limit sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0005,SIGNS,MUTCD_R5-1_DO_NOT_ENTER,app/src/main/assets/svg/MUTCD_R5-1_DO_NOT_ENTER.svg,PASS,BLOCK,P1,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#76,What must you do when you see a DO NOT ENTER sign?,DO NOT ENTER sign still needs canonical text/bar layout validation at 48dp.,Align with MUTCD R5-1 canonical layout and re-attach 96dp/48dp evidence.
TX-SIG-0006,SIGNS,MUTCD_R5-1a_WRONG_WAY,app/src/main/assets/svg/MUTCD_R5-1a_WRONG_WAY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#119,"If you see a WRONG WAY sign, you should:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0007,SIGNS,MUTCD_R3-1_NO_LEFT_TURN,app/src/main/assets/svg/MUTCD_R3-1_NO_LEFT_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#114,What does a NO LEFT TURN sign prohibit?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0008,SIGNS,MUTCD_R3-2_NO_RIGHT_TURN,app/src/main/assets/svg/MUTCD_R3-2_NO_RIGHT_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#115,"When you see a NO RIGHT TURN sign at an intersection, you must:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0009,SIGNS,MUTCD_R3-3_NO_U_TURN,app/src/main/assets/svg/MUTCD_R3-3_NO_U_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#116,What does a NO U-TURN sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0010,SIGNS,MUTCD_R8-3a_NO_PARKING_ANYTIME,app/src/main/assets/svg/MUTCD_R8-3a_NO_PARKING_ANYTIME.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#123,What does a NO PARKING ANYTIME sign mean?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0011,SIGNS,MUTCD_R10-6_ONE_WAY,app/src/main/assets/svg/MUTCD_R10-6_ONE_WAY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#108,"When you see a ONE WAY sign, you must:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0012,SIGNS,MUTCD_R10-7_DO_NOT_PASS,app/src/main/assets/svg/MUTCD_R10-7_DO_NOT_PASS.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#109,What does a DO NOT PASS sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0013,SIGNS,MUTCD_R15-1_RAILROAD_CROSSING,app/src/main/assets/svg/MUTCD_R15-1_RAILROAD_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#110,What does this sign indicate about railroad crossings?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0014,SIGNS,MUTCD_R3-4_NO_TRUCKS,app/src/main/assets/svg/MUTCD_R3-4_NO_TRUCKS.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#117,What does a NO TRUCKS sign typically prohibit?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0015,SIGNS,MUTCD_R4-7_KEEP_RIGHT,app/src/main/assets/svg/MUTCD_R4-7_KEEP_RIGHT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#118,What does a KEEP RIGHT sign require you to do?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0016,SIGNS,MUTCD_R6-1_LEFT_TURN_ONLY,app/src/main/assets/svg/MUTCD_R6-1_LEFT_TURN_ONLY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#120,What does a LEFT TURN ONLY sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
